dataset,true_cps,found_cps,found_cps_dx,f1_score,covering_score
DodgerLoopDay,[],[],[],1.0,1.0
EEGRat,[1000],"[1020, 1233]","[1999, 1999]",0.8,0.874
EEGRat2,[1000],[],[],0.667,0.5
FaceFour,"[2800, 5600, 6650]","[2822, 6641]","[8399, 8399]",0.857,0.813
GrandMalSeizures2,[4550],"[2937, 3409, 4061, 4475]","[9999, 9999, 9999, 9999]",0.571,0.838
GreatBarbet1,"[1900, 3700]","[1887, 2437, 3692]","[4699, 4699, 4699]",0.857,0.88
Herring,[],[],[],1.0,1.0
InlineSkate,"[1058, 2704]",[],[],0.5,0.358
InsectEPG1,[3802],[],[],0.667,0.653
MelbournePedestrian,"[576, 1152, 2016, 2592, 3168, 4032]","[583, 1148, 2013, 2597, 3191, 4031]","[4895, 4895, 4895, 4895, 4895, 4895]",1.0,0.983
NogunGun,[3000],"[3075, 4403, 5480]","[7382, 7382, 7382]",0.333,0.654
NonInvasiveFetalECGThorax1,"[1687, 4124, 6233, 8108, 10358]","[1703, 4107, 8109, 10340]","[9999, 9999, 9999, 11709]",0.909,0.833
ShapesAll,"[1280, 2560, 3840, 5120]","[384, 1334, 2551, 3812, 5089, 5476]","[6399, 6399, 6399, 6399, 6399, 6399]",0.833,0.854
TiltECG,[25000],"[7088, 24655, 27681]","[10884, 28569, 29604]",0.667,0.747
ToeSegmentation1,[1385],"[156, 433, 706, 1113, 1395, 1551]","[2769, 2769, 2769, 2769, 2769, 2769]",0.444,0.587
ToeSegmentation2,[1543],"[1527, 1887]","[3085, 3085]",0.8,0.883
Trace,"[1443, 2955]",[1414],[5085],0.8,0.644
UWaveGestureLibraryY,"[600, 1131, 1652, 2193]","[591, 1152, 2217]","[2817, 2817, 2817]",0.889,0.784
UWaveGestureLibraryZ,"[600, 1131, 1652, 2193]","[626, 1131, 2199]","[2817, 2817, 2817]",0.889,0.79
WordSynonyms,"[202, 2227]",[],[],0.5,0.727
Yoga,[7295],[],[],0.667,0.504
